Rank ,Puzzles , AMT (s)  ,Solved rate   ,1-sigma Mean (s)   , 1-sigma STD (s)   ,nums
 113, 1  6  6  11 , 5.72, 98.2%, 6.19, 2.25,"[1, 6, 6, 11]"
 114, 3  3  11  12 , 5.73, 94.7%, 6.12, 2.2,"[3, 3, 11, 12]"
 115, 3  8  8  8 , 5.73, 97.5%, 6.11, 2.14,"[3, 8, 8, 8]"
 116, 3  6  11  11 , 5.74, 94.4%, 6.03, 2.08,"[3, 6, 11, 11]"
 117, 4  4  11  12 , 5.74, 91.9%, 6.1, 2.37,"[4, 4, 11, 12]"
 118, 12  12  12  13 , 5.74, 97.5%, 6.07, 1.96,"[12, 12, 12, 13]"
 119, 1  2  2  12 , 5.75, 97.7%, 6.1, 1.98,"[1, 2, 2, 12]"
 120, 2  8  9  9 , 5.76, 96.4%, 6.16, 2.11,"[2, 8, 9, 9]"
 121, 2  2  3  12 , 5.77, 98.1%, 6.18, 2.03,"[2, 2, 3, 12]"
 122, 8  9  12  12 , 5.77, 96.2%, 6.25, 2.23,"[8, 9, 12, 12]"
 123, 1  5  8  8 , 5.78, 94.8%, 6.36, 2.68,"[1, 5, 8, 8]"
 124, 1  5  6  12 , 5.79, 98.5%, 6.17, 2.06,"[1, 5, 6, 12]"
 125, 6  6  12  12 , 5.79, 98.4%, 6.33, 2.35,"[6, 6, 12, 12]"
 126, 4  6  9  9 , 5.8, 96.3%, 6.18, 2.23,"[4, 6, 9, 9]"
 127, 6  6  11  13 , 5.8, 97.8%, 6.3, 2.23,"[6, 6, 11, 13]"
 128, 7  7  11  13 , 5.8, 97.5%, 6.34, 2.3,"[7, 7, 11, 13]"
 129, 1  4  4  12 , 5.81, 95.7%, 6.3, 2.34,"[1, 4, 4, 12]"
 130, 1  4  6  12 , 5.81, 96.7%, 6.25, 2.42,"[1, 4, 6, 12]"
 131, 3  4  4  6 , 5.81, 97.4%, 6.14, 1.96,"[3, 4, 4, 6]"
 132, 9  9  11  13 , 5.81, 96.8%, 6.35, 2.39,"[9, 9, 11, 13]"
 133, 3  8  12  13 , 5.83, 96%, 6.19, 2.18,"[3, 8, 12, 13]"
 134, 1  8  10  12 , 5.84, 95.5%, 6.17, 2.17,"[1, 8, 10, 12]"
 135, 4  6  6  7 , 5.85, 96.5%, 6.21, 2.08,"[4, 6, 6, 7]"
 136, 11  13  13  13 , 5.86, 97.7%, 6.43, 2.44,"[11, 13, 13, 13]"
 137, 2  4  4  12 , 5.87, 98.4%, 6.25, 2.14,"[2, 4, 4, 12]"
 138, 1  3  6  12 , 5.89, 96.9%, 6.3, 2.2,"[1, 3, 6, 12]"
 139, 4  6  8  8 , 5.89, 96.7%, 6.33, 2.24,"[4, 6, 8, 8]"
 140, 2  4  11  11 , 5.9, 96.2%, 6.35, 2.34,"[2, 4, 11, 11]"
 141, 3  4  11  13 , 5.9, 96.4%, 6.36, 2.36,"[3, 4, 11, 13]"
 142, 3  6  7  7 , 5.9, 93.3%, 6.27, 2.35,"[3, 6, 7, 7]"
 143, 5  6  11  12 , 5.9, 97.3%, 6.37, 2.23,"[5, 6, 11, 12]"
 144, 1  4  5  12 , 5.91, 95.8%, 6.34, 2.32,"[1, 4, 5, 12]"
 145, 1  4  8  12 , 5.91, 97.6%, 6.27, 2.19,"[1, 4, 8, 12]"
 146, 2  10  10  12 , 5.91, 97.1%, 6.28, 2.3,"[2, 10, 10, 12]"
 147, 6  6  10  13 , 5.91, 93.8%, 6.43, 2.66,"[6, 6, 10, 13]"
 148, 3  6  6  8 , 5.92, 97.1%, 6.34, 2.24,"[3, 6, 6, 8]"
 149, 1  3  3  12 , 5.93, 95.4%, 6.34, 2.31,"[1, 3, 3, 12]"
 150, 1  12  13  13 , 5.93, 94.4%, 6.26, 2.15,"[1, 12, 13, 13]"
 151, 3  6  13  13 , 5.93, 94.6%, 6.17, 1.96,"[3, 6, 13, 13]"
 152, 3  8  10  11 , 5.93, 94.5%, 6.29, 2.36,"[3, 8, 10, 11]"
 153, 4  6  10  11 , 5.93, 94.5%, 6.33, 2.39,"[4, 6, 10, 11]"
 154, 10  11  12  12 , 5.93, 95.9%, 6.28, 2.05,"[10, 11, 12, 12]"
 155, 4  8  10  10 , 5.94, 97.5%, 6.36, 2.16,"[4, 8, 10, 10]"
 156, 10  10  11  13 , 5.94, 97.6%, 6.5, 2.34,"[10, 10, 11, 13]"
 157, 1  11  11  12 , 5.95, 93.5%, 6.18, 2.22,"[1, 11, 11, 12]"
 158, 2  8  8  12 , 5.95, 97.5%, 6.5, 2.47,"[2, 8, 8, 12]"
 159, 4  5  12  13 , 5.95, 97.7%, 6.45, 2.16,"[4, 5, 12, 13]"
 160, 1  1  3  13 , 5.96, 95.1%, 6.35, 2.11,"[1, 1, 3, 13]"
 161, 1  2  11  11 , 5.97, 97.4%, 6.46, 2.44,"[1, 2, 11, 11]"
 162, 9  10  12  12 , 5.97, 95.7%, 6.26, 2.02,"[9, 10, 12, 12]"
 163, 1  7  8  9 , 5.98, 97.1%, 6.42, 2.28,"[1, 7, 8, 9]"
 164, 3  7  10  10 , 5.98, 97.3%, 6.38, 2.21,"[3, 7, 10, 10]"
 165, 4  6  10  10 , 5.98, 96.4%, 6.37, 2.37,"[4, 6, 10, 10]"
 166, 5  5  5  5 , 5.98, 95.2%, 6.39, 2.17,"[5, 5, 5, 5]"
 167, 1  3  6  8 , 5.99, 95.6%, 6.41, 2.54,"[1, 3, 6, 8]"
 168, 1  6  12  12 , 5.99, 94.5%, 6.38, 2.42,"[1, 6, 12, 12]"
 169, 1  7  8  10 , 5.99, 97.6%, 6.41, 2.29,"[1, 7, 8, 10]"
 170, 2  8  10  10 , 5.99, 95.4%, 6.3, 2.07,"[2, 8, 10, 10]"
 171, 1  2  4  4 , 6, 97%, 6.33, 2.13,"[1, 2, 4, 4]"
 172, 1  2  6  6 , 6, 97.5%, 6.42, 2.23,"[1, 2, 6, 6]"
 173, 1  2  6  12 , 6, 96.9%, 6.38, 2.24,"[1, 2, 6, 12]"
 174, 1  6  7  10 , 6, 98.6%, 6.55, 2.27,"[1, 6, 7, 10]"
 175, 1  5  7  11 , 6.01, 98.5%, 6.47, 2.13,"[1, 5, 7, 11]"
 176, 4  5  5  5 , 6.01, 97.5%, 6.55, 2.4,"[4, 5, 5, 5]"
 177, 1  10  10  12 , 6.02, 92.4%, 6.23, 2.09,"[1, 10, 10, 12]"
 178, 1  5  8  12 , 6.03, 98.2%, 6.49, 2.2,"[1, 5, 8, 12]"
 179, 1  2  10  12 , 6.04, 97.4%, 6.54, 2.38,"[1, 2, 10, 12]"
 180, 2  2  11  13 , 6.04, 98%, 6.6, 2.42,"[2, 2, 11, 13]"
 181, 3  8  12  12 , 6.04, 96.6%, 6.49, 2.47,"[3, 8, 12, 12]"
 182, 4  8  13  13 , 6.04, 94.6%, 6.27, 1.91,"[4, 8, 13, 13]"
 183, 1  1  4  4 , 6.05, 94.6%, 6.33, 2.42,"[1, 1, 4, 4]"
 184, 3  9  9  9 , 6.05, 97.6%, 6.49, 2.16,"[3, 9, 9, 9]"
 185, 1  2  4  8 , 6.06, 96.6%, 6.46, 2.31,"[1, 2, 4, 8]"
 186, 3  4  12  12 , 6.06, 94.6%, 6.53, 2.47,"[3, 4, 12, 12]"
 187, 1  1  6  6 , 6.07, 97.2%, 6.48, 2.19,"[1, 1, 6, 6]"
 188, 1  3  9  12 , 6.08, 96.3%, 6.49, 2.35,"[1, 3, 9, 12]"
 189, 1  6  8  9 , 6.08, 98.2%, 6.53, 2.35,"[1, 6, 8, 9]"
 190, 1  2  6  8 , 6.09, 96%, 6.42, 2.34,"[1, 2, 6, 8]"
 191, 4  7  7  8 , 6.09, 93.8%, 6.57, 2.52,"[4, 7, 7, 8]"
 192, 3  3  11  13 , 6.1, 97%, 6.62, 2.49,"[3, 3, 11, 13]"
 193, 1  1  3  4 , 6.11, 98%, 6.44, 2.05,"[1, 1, 3, 4]"
 194, 1  1  9  13 , 6.11, 97.3%, 6.55, 2.5,"[1, 1, 9, 13]"
 195, 5  6  12  13 , 6.11, 97.5%, 6.52, 2.17,"[5, 6, 12, 13]"
 196, 1  7  8  8 , 6.12, 96.7%, 6.64, 2.65,"[1, 7, 8, 8]"
 197, 2  2  11  12 , 6.12, 92.5%, 6.51, 2.55,"[2, 2, 11, 12]"
 198, 3  3  4  8 , 6.12, 96.3%, 6.44, 2.14,"[3, 3, 4, 8]"
 199, 3  8  11  12 , 6.12, 94.3%, 6.61, 2.66,"[3, 8, 11, 12]"
 200, 2  8  13  13 , 6.13, 90.4%, 6.45, 2.59,"[2, 8, 13, 13]"
 201, 2  11  12  12 , 6.13, 95.4%, 6.51, 2.27,"[2, 11, 12, 12]"
 202, 1  7  7  12 , 6.15, 89%, 6.28, 2.32,"[1, 7, 7, 12]"
 203, 10  13  13  13 , 6.15, 93.4%, 6.61, 2.81,"[10, 13, 13, 13]"
 204, 1  2  3  10 , 6.16, 98.4%, 6.48, 2,"[1, 2, 3, 10]"
 205, 1  5  7  13 , 6.16, 98%, 6.54, 2.08,"[1, 5, 7, 13]"
 206, 2  3  11  12 , 6.16, 94.8%, 6.73, 2.74,"[2, 3, 11, 12]"
 207, 2  11  11  11 , 6.16, 89.9%, 6.26, 2.49,"[2, 11, 11, 11]"
 208, 5  5  12  13 , 6.16, 95.5%, 6.64, 2.17,"[5, 5, 12, 13]"
 209, 1  5  5  12 , 6.17, 90.5%, 6.38, 2.33,"[1, 5, 5, 12]"
 210, 3  3  3  6 , 6.17, 97.7%, 6.72, 2.57,"[3, 3, 3, 6]"
 211, 3  3  3  12 , 6.17, 96.9%, 6.63, 2.46,"[3, 3, 3, 12]"
 212, 5  5  11  13 , 6.17, 96.2%, 6.77, 2.52,"[5, 5, 11, 13]"
 213, 1  2  3  8 , 6.18, 97%, 6.59, 2.35,"[1, 2, 3, 8]"
 214, 2  13  13  13 , 6.18, 91.1%, 6.36, 2.36,"[2, 13, 13, 13]"
 215, 4  7  12  12 , 6.19, 88.7%, 6.61, 2.94,"[4, 7, 12, 12]"
 216, 8  8  11  12 , 6.19, 90.7%, 6.55, 2.66,"[8, 8, 11, 12]"
 217, 10  10  11  12 , 6.19, 93.4%, 6.55, 2.3,"[10, 10, 11, 12]"
 218, 11  12  13  13 , 6.2, 95.2%, 6.67, 2.41,"[11, 12, 13, 13]"
 219, 1  4  7  8 , 6.21, 96.7%, 6.71, 2.72,"[1, 4, 7, 8]"
 220, 1  10  12  12 , 6.22, 95.9%, 6.82, 2.9,"[1, 10, 12, 12]"
 221, 5  5  5  6 , 6.22, 96.1%, 6.68, 2.33,"[5, 5, 5, 6]"
 222, 1  2  2  8 , 6.23, 93.4%, 6.68, 2.64,"[1, 2, 2, 8]"
 223, 1  8  10  13 , 6.24, 94.9%, 6.57, 2.41,"[1, 8, 10, 13]"
 224, 2  2  4  5 , 6.24, 98.3%, 6.61, 2.1,"[2, 2, 4, 5]"
 225, 1  2  13  13 , 6.25, 97.1%, 6.96, 2.71,"[1, 2, 13, 13]"
 226, 1  4  6  8 , 6.25, 94.5%, 6.61, 2.53,"[1, 4, 6, 8]"
 227, 1  4  8  8 , 6.25, 96.6%, 6.72, 2.47,"[1, 4, 8, 8]"
 228, 3  11  11  12 , 6.25, 91.2%, 6.45, 2.16,"[3, 11, 11, 12]"
 229, 1  5  10  10 , 6.26, 97.3%, 6.64, 2.29,"[1, 5, 10, 10]"
 230, 4  6  12  13 , 6.26, 93.8%, 6.79, 2.85,"[4, 6, 12, 13]"
 231, 7  7  12  13 , 6.26, 93.8%, 6.68, 2.36,"[7, 7, 12, 13]"
 232, 1  1  5  7 , 6.27, 96.5%, 6.59, 2.11,"[1, 1, 5, 7]"
 233, 1  2  3  12 , 6.27, 96.3%, 6.81, 2.53,"[1, 2, 3, 12]"
 234, 4  4  10  13 , 6.27, 93.5%, 6.75, 2.8,"[4, 4, 10, 13]"
 235, 2  7  8  12 , 6.29, 95%, 6.75, 2.57,"[2, 7, 8, 12]"
 236, 6  7  11  12 , 6.29, 96.9%, 6.84, 2.59,"[6, 7, 11, 12]"
 237, 1  3  11  11 , 6.3, 97.3%, 6.69, 2.41,"[1, 3, 11, 11]"
 238, 4  4  5  6 , 6.3, 95.8%, 6.6, 2.24,"[4, 4, 5, 6]"
 239, 7  9  11  11 , 6.3, 95.8%, 6.76, 2.63,"[7, 9, 11, 11]"
 240, 1  3  8  9 , 6.31, 92.3%, 6.9, 3.24,"[1, 3, 8, 9]"
 241, 1  4  12  12 , 6.31, 91.3%, 6.56, 2.49,"[1, 4, 12, 12]"
 242, 1  2  10  11 , 6.32, 97.6%, 6.66, 2.39,"[1, 2, 10, 11]"
 243, 1  5  7  8 , 6.33, 94.7%, 6.71, 2.41,"[1, 5, 7, 8]"
 244, 2  2  2  8 , 6.33, 96.5%, 6.88, 2.73,"[2, 2, 2, 8]"
 245, 2  12  12  13 , 6.33, 95.6%, 6.73, 2.38,"[2, 12, 12, 13]"
 246, 9  9  12  13 , 6.33, 94.1%, 6.68, 2.22,"[9, 9, 12, 13]"
 247, 1  4  4  5 , 6.34, 96.9%, 6.86, 2.68,"[1, 4, 4, 5]"
 248, 1  5  8  9 , 6.34, 94.1%, 6.81, 2.64,"[1, 5, 8, 9]"
 249, 4  8  9  9 , 6.35, 90.5%, 6.52, 2.3,"[4, 8, 9, 9]"
 250, 2  12  12  12 , 6.36, 98.4%, 6.76, 2.45,"[2, 12, 12, 12]"
 251, 2  8  11  11 , 6.39, 88.6%, 6.57, 2.77,"[2, 8, 11, 11]"
 252, 2  11  13  13 , 6.39, 94.3%, 6.87, 2.5,"[2, 11, 13, 13]"
 253, 3  6  7  8 , 6.39, 97.8%, 6.78, 2.3,"[3, 6, 7, 8]"
 254, 1  2  8  8 , 6.4, 96.2%, 6.96, 2.7,"[1, 2, 8, 8]"
 255, 1  2  12  12 , 6.4, 96%, 6.72, 2.2,"[1, 2, 12, 12]"
 256, 8  8  8  10 , 6.4, 90.3%, 6.75, 2.92,"[8, 8, 8, 10]"
 257, 10  10  10  13 , 6.4, 93%, 6.84, 2.98,"[10, 10, 10, 13]"
 258, 1  6  6  13 , 6.41, 97.3%, 6.8, 2.44,"[1, 6, 6, 13]"
 259, 1  8  8  9 , 6.41, 96.3%, 6.92, 2.7,"[1, 8, 8, 9]"
 260, 1  3  3  7 , 6.42, 96.1%, 7.26, 3.32,"[1, 3, 3, 7]"
 261, 1  3  6  6 , 6.42, 97.2%, 6.91, 2.6,"[1, 3, 6, 6]"
 262, 2  5  6  12 , 6.42, 95.2%, 6.83, 2.53,"[2, 5, 6, 12]"
 263, 4  5  9  9 , 6.42, 88.5%, 6.67, 2.73,"[4, 5, 9, 9]"
 264, 1  6  7  11 , 6.43, 97.4%, 7.06, 2.88,"[1, 6, 7, 11]"
 265, 2  8  10  11 , 6.43, 94.9%, 6.93, 2.64,"[2, 8, 10, 11]"
 266, 3  6  10  11 , 6.43, 95.8%, 7.07, 2.87,"[3, 6, 10, 11]"
 267, 2  6  6  12 , 6.44, 97.7%, 6.97, 2.56,"[2, 6, 6, 12]"
 268, 3  7  9  9 , 6.44, 91.2%, 6.9, 2.82,"[3, 7, 9, 9]"
 269, 6  6  11  12 , 6.45, 89.1%, 6.77, 2.97,"[6, 6, 11, 12]"
 270, 1  1  3  11 , 6.46, 94.3%, 6.71, 1.98,"[1, 1, 3, 11]"
 271, 3  12  13  13 , 6.46, 91.2%, 6.65, 2.3,"[3, 12, 13, 13]"
 272, 1  6  9  9 , 6.47, 97.5%, 6.89, 2.5,"[1, 6, 9, 9]"
 273, 2  3  11  13 , 6.47, 91.9%, 6.9, 2.76,"[2, 3, 11, 13]"
 274, 4  4  4  4 , 6.47, 97.8%, 7.07, 2.91,"[4, 4, 4, 4]"
 275, 4  5  13  13 , 6.47, 87.8%, 6.71, 2.84,"[4, 5, 13, 13]"
 276, 1  2  4  6 , 6.49, 95.9%, 6.88, 2.53,"[1, 2, 4, 6]"
 277, 1  3  5  8 , 6.49, 95.2%, 7.14, 2.9,"[1, 3, 5, 8]"
 278, 6  10  10  10 , 6.49, 95.8%, 6.75, 2.3,"[6, 10, 10, 10]"
 279, 1  7  8  12 , 6.51, 95.7%, 7, 2.66,"[1, 7, 8, 12]"
 280, 1  9  12  12 , 6.51, 92.6%, 6.88, 2.8,"[1, 9, 12, 12]"
 281, 10  11  11  13 , 6.51, 94.8%, 6.9, 2.6,"[10, 11, 11, 13]"
 282, 1  4  4  7 , 6.52, 96%, 7.25, 3.19,"[1, 4, 4, 7]"
 283, 1  4  6  13 , 6.52, 97.5%, 6.97, 2.38,"[1, 4, 6, 13]"
 284, 1  3  3  5 , 6.53, 95.1%, 6.8, 2.48,"[1, 3, 3, 5]"
